Nome do Produto,Volume,Categoria,Venda em (un/pct),Estoque Atual,Fornecedor,Preço de Custo,Preço de Venda Atual (un.),Margem de Lucro (un.),Preço de Venda Atual (pct),Margem de Lucro (pct),Giro (Vende Rápido/Devagar)
Passport Scotch,1L,Whisky,unidade,8un,,,"R$ 55,00",,-,,
Passport Selection ,1L,Whisky,unidade,24un,,,"R$ 55,00",,,,
Red Label,1L,Whisky,unidade,20un,,,"R$ 105,00",,-,,
Jack Daniel's Fire,1L,Whisky,unidade,3un,,,"R$ 155,00",,-,,
Jack Daniel's Honey,1L,Whisky,unidade,10un,,,"R$ 155,00",,,,
White Horse (Cavalo),1L,Whisky,unidade,33un,,,"R$ 80,00",,-,,
White Horse (Cavalo),500ml,Whisky,unidade,12un,,,"R$ 50,00",,,,
Santomé Bordo,1L,Vinho,unidade,12un,Alberto Belesso,,"R$ 22,00",,,,
Manosso Bordo Suave com Taça ,750ml,Vinho,unidade,12un,Alberto Belesso,,"R$ 35,00",,,,
51 ouro ,Indisponivel,Indisponível,unidade,,,,"R$ 22,00",,,,
Goés Suave,900ml,Vinho,unidade,10un,,,"R$ 18,00",,,,
Goés Branco Suave,Indisponivel,Indisponível,unidade,1un,,,"R$ 18,00",,,,
Grambell Red,600ml,Vinho,unidade,7un,Alberto Belesso,,"R$ 11,00",,,,
Grambell White,600ml,Vinho,unidade,11un,Alberto Belesso,,"R$ 11,00",,,,
Red Bull Tradicional ,250ml,Energético,unidade,300un,Ambev,,"R$ 12,00",,,,
Red Bull Melancia,250ml,Energético,unidade,106un,Ambev,,"R$ 12,00",,,,
Red Bull Tropical ,250ml,Energético,unidade,3un,Ambev,,"R$ 12,00",,,,
Red Bull Morango e Pêssego ,Indisponivel,Indisponível,unidade,21un,Ambev,,"R$ 12,00",,,,
Red Bull SEM AÇÚCAR ,250ml,Energético,unidade,21un,Ambev,,"R$ 12,00",,,,
Red Bull Figo e Maçã ,250ml,Energético,unidade,6un,Ambev,,"R$ 12,00",,,,
Monster Energy Tradicional ,473ml,Energético,unidade,56un,Coca Cola,,"R$ 12,00",,,,
Monster Watermelon ,473ml,Energético,unidade,21un,Coca Cola,,"R$ 12,00",,,,
Monster Pipeline Puch,473ml,Energético,unidade,36un,Coca Cola,,"R$ 12,00",,,,
Monster Mango Loco,473ml,Energético,unidade,5un,Coca Cola,,"R$ 12,00",,,,
Monster Ultra Violet,473ml,Energético,unidade,24un,Coca Cola,,"R$ 12,00",,,,
Monster Energy Zero Sugar,473ml,Energético,unidade,17un,Coca Cola,,"R$ 12,00",,,,
Monster Absolutely Zero,473ml,Energético,unidade,4un,Coca Cola,,"R$ 12,00",,,,
Monster Energy Ultra,473ml,Energético,unidade,14un,Coca Cola,,"R$ 12,00",,,,
Monster Ultra Paradise,473ml,Energético,unidade,6un,Coca Cola,,"R$ 12,00",,,,
Monster Tropical Orange,473ml,Energético,unidade,3un,Coca Cola,,"R$ 12,00",,,,
TNT Original ,473ml,Energético,unidade,24un,Itaipava,,"R$ 10,00",,,,
